"Name","H","AB","BA","Rating"
"David Price",0,9,0,0.0879750955984064
"Jason Pridie",0,9,0,0.0879750955984064
"Yasiel Puig",72,282,0.25531914893617,0.457218123855917
"Albert Pujols",147,602,0.244186046511628,0.661247684394355
"Jose Quintana",0,8,0,0.096772605158247
"Ryan Raburn",52,173,0.300578034682081,0.436149665351721
"Aramis Ramirez",117,475,0.246315789473684,0.63684104256069
"Alexei Ramirez",145,583,0.248713550600343,0.631198298777391
"Erasmo Ramirez",0,2,0,0.241931512895618
"Hanley Ramirez",100,401,0.249376558603491,0.510534026837506
"Jose Ramirez",69,315,0.219047619047619,0.399171760722445
"Wilson Ramos",109,475,0.229473684210526,0.697395296702065
"Anthony Ranaudo",0,2,0,0.241931512895618
"Colby Rasmus",103,432,0.238425925925926,0.530172349084564
"Cory Rasmus",0,1,0,0.32257535052749
"Robbie Ray",3,31,0.0967741935483871,0.122883870642902
"Colin Rea",2,9,0.222222222222222,0.268261889696886
"J.T. Realmuto",114,441,0.258503401360544,0.609818634883876
"Anthony Recker",10,80,0.125,0.151800462624212
"Josh Reddick",143,526,0.271863117870722,0.731887546299118
"Addison Reed",0,2,0,0.241931512895618
"Michael Reed",2,6,0.333333333333333,0.366749618250346
"Rob Refsnyder",13,43,0.302325581395349,0.332584654052283
"Nolan Reimold",42,170,0.247058823529412,0.37512283055811
"Anthony Rendon",82,311,0.263665594855305,0.615065594847455
"Ben Revere",181,592,0.305743243243243,0.865307107072296
"Jose Reyes",132,481,0.274428274428274,0.654739687923876
"Mark Reynolds",88,382,0.230366492146597,0.487972688138547
"Clayton Richard",2,14,0.142857142857143,0.186603729644454
"Andre Rienzo",0,2,0,0.241931512895618
"Alex Rios",98,385,0.254545454545455,0.549489077134621
"Rene Rivera",53,298,0.177852348993289,0.318261593132488
"Yadiel Rivera",1,14,0.0714285714285714,0.122540088005944
"Anthony Rizzo",163,586,0.278156996587031,0.763245490502709
"Donn Roach",1,1,1,0.646725032613115
"Tanner Roark",5,27,0.185185185185185,0.229008647006467
"Daniel Robertson",21,75,0.28,0.332273810221349
"Clint Robinson",84,309,0.271844660194175,0.594893348664795
"Shane Robinson",45,180,0.25,0.369801406684367
"Carlos Rodon",0,1,0,0.32257535052749
"Alex Rodriguez",131,523,0.250478011472275,0.655695901085119
"Eduardo Rodriguez",0,2,0,0.241931512895618
"Sean Rodriguez",55,224,0.245535714285714,0.428821735002937
"Wandy Rodriguez",1,2,0.5,0.485591250819163
"Jason Rogers",45,152,0.296052631578947,0.476383977219892
"Miguel Rojas",40,142,0.28169014084507,0.433381110319029
"Jimmy Rollins",116,517,0.224371373307544,0.563029912122541
"Jamie Romak",5,15,0.333333333333333,0.365025416602057
"Stefen Romero",4,21,0.19047619047619,0.2217232966019
"Andrew Romine",47,185,0.254054054054054,0.45289237550517
"Austin Romine",0,2,0,0.241931512895618
"Sergio Romo",0,2,0,0.241931512895618
"Adam Rosales",26,114,0.228070175438596,0.379321701850755
"Eddie Rosario",121,453,0.267108167770419,0.610241601457631
"Wilin Rosario",62,231,0.268398268398268,0.485666330742248
"Trevor Rosenthal",0,1,0,0.32257535052749
"Cody Ross",2,22,0.0909090909090909,0.124994476648358
"David Ross",28,159,0.176100628930818,0.289514649032951
"Joe Ross",3,27,0.111111111111111,0.164173547539042
"Tyson Ross",14,56,0.25,0.299561060494372
"Ryan Rua",16,83,0.192771084337349,0.225639116899051
"Darin Ruf",63,268,0.235074626865672,0.403361833700915
"Justin Ruggiano",31,125,0.248,0.325084689920628
"Carlos Ruiz",60,284,0.211267605633803,0.406294991117721
"Cameron Rupp",63,270,0.233333333333333,0.454564569239112
"Chris Rusin",10,46,0.217391304347826,0.267496670969939
"Addison Russell",115,475,0.242105263157895,0.657171856298077
"James Russell",0,1,0,0.32257535052749
"Josh Rutledge",21,74,0.283783783783784,0.362160311149118
"Brendan Ryan",22,96,0.229166666666667,0.379159587017884
"CC Sabathia",0,3,0,0.193545210316494
"Casey Sadler",0,1,0,0.32257535052749
"Danny Salazar",0,4,0,0.161287675263745
"Tyler Saladino",53,236,0.224576271186441,0.357383540409118
"Chris Sale",1,9,0.111111111111111,0.177512496288948
"Jarrod Saltalamacchia",45,200,0.225,0.408216882933618
"Jeff Samardzija",1,2,0.5,0.486204152586389
"Keyvius Sampson",0,16,0,0.0537625584212483
"Anibal Sanchez",0,4,0,0.161287675263745
"Carlos Sanchez",87,389,0.223650385604113,0.452060716649376
"Gary Sanchez",0,2,0,0.241931512895618
"Hector Sanchez",10,56,0.178571428571429,0.220491453507918
"Tony Sanchez",3,8,0.375,0.393548539806747
"Jerry Sands",29,123,0.235772357723577,0.315079087621532
"Pablo Sandoval",115,470,0.24468085106383,0.627138590903484
"Miguel Sano",75,279,0.268817204301075,0.503796301544759
